[21/01/2020 0:44:57] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:44:58] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2] 
[21/01/2020 0:45:00] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:45:01] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:45:02] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 80] 
[21/01/2020 0:45:03] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40] 
[21/01/2020 0:45:04] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20] 
[21/01/2020 0:45:05] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10] 
[21/01/2020 0:45:07] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 100] 
[21/01/2020 0:45:09] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 100] 
[21/01/2020 0:45:11] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200] 
[21/01/2020 0:45:14] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400] 
[21/01/2020 0:45:22] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40] 
[21/01/2020 0:45:23] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40] 
[21/01/2020 0:45:27] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400] 
[21/01/2020 0:45:30] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:45:31] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:45:36] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:45:45] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
[21/01/2020 0:46:01] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:46:02] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:46:04] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400000] 
[21/01/2020 0:46:05] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400000] 
[21/01/2020 0:46:08] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200000] 
[21/01/2020 0:46:11] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200000] 
[21/01/2020 0:46:14] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:46:17] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:46:21] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10] 
[21/01/2020 0:46:23] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20] 
[21/01/2020 0:46:28] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 100] 
[21/01/2020 0:46:29] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 100] 
[21/01/2020 0:46:30] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200] 
[21/01/2020 0:46:31] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200] 
[21/01/2020 0:46:35] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400] 
[21/01/2020 0:46:43] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40] 
[21/01/2020 0:46:44] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40] 
[21/01/2020 0:46:46] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:46:47] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:46:50] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1000] 
[21/01/2020 0:46:54] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1000] 
[21/01/2020 0:47:00] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2] 
[21/01/2020 0:47:12] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400000] 
[21/01/2020 0:47:13] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400000] 
[21/01/2020 0:47:15] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200000] 
[21/01/2020 0:47:21] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:47:26] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:47:29] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
