[21/01/2020 0:42:31] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:42:36] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:42:38] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 4] 
[21/01/2020 0:42:39] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:42:40] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 8] 
[21/01/2020 0:42:43] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 10] 
[21/01/2020 0:42:44] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 10] 
[21/01/2020 0:42:48] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 100000] 
[21/01/2020 0:42:52] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 100000] 
[21/01/2020 0:42:54] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 200000] 
[21/01/2020 0:42:58] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 200000] 
[21/01/2020 0:43:00] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:43:03] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:43:04] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:43:19] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:43:21] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:43:22] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:43:26] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:43:33] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:43:34] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [] 
[21/01/2020 0:43:35] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 8000] 
[21/01/2020 0:43:36] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 8000] 
[21/01/2020 0:43:37] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:43:38] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:43:39] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:43:43] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:44:05] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin2], Params: [] 
[21/01/2020 0:44:10] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_char_manage], Params: [] 
[21/01/2020 0:44:23] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_recall_char_menu], Params: [] 
[21/01/2020 0:44:31] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:44:34] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_goto_char_menu], Params: [] 
[21/01/2020 0:44:50] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:46:10] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_repair], Params: [ //add_lvl] 
[21/01/2020 0:46:20] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:46:24] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_admin2], Params: [] 
[21/01/2020 0:46:35] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_cw_add], Params: [] 
[21/01/2020 0:46:42] --> GM: Balauru_268477770, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:47:52] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_skill_list], Params: [] 
[21/01/2020 0:47:58] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_help], Params: [ skills/Special/Hero_Skills.htm] 
[21/01/2020 0:48:05] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_add_skill], Params: [ 1376 1] 
[21/01/2020 0:48:13] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_get_skills], Params: [] 
[21/01/2020 0:48:50] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_give_all_skills], Params: [] 
[21/01/2020 0:49:25] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:49:28] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin2], Params: [] 
[21/01/2020 0:49:36] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_manualhero], Params: [] 
[21/01/2020 0:49:45] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:49:46] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:49:47] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin2], Params: [] 
[21/01/2020 0:49:50] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:49:52] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin4], Params: [] 
[21/01/2020 0:49:57] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_skill_test], Params: [] 
[21/01/2020 0:50:06] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:50:08] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:50:17] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_spawn_monster], Params: [] 
[21/01/2020 0:50:20] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_spawn_index], Params: [ 80] 
[21/01/2020 0:50:25] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_spawn_monster], Params: [ 21382] 
[21/01/2020 0:51:45] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
